조회,BUSS205-03,전공필수,마케팅원론,류강석,3,"월(3-4) L-P 531호
수(3-4) L-P 531호",,85,"인원제한, 교환학생, 출석확인자율화"
조회,BUSS205-04,전공필수,마케팅원론(영강),김재환,3,"화(6) L-P 208호
목(6) L-P 208호",,11,"인원제한, 교환학생, 출석확인자율화"
조회,BUSS205-05,전공필수,마케팅원론(영강),유원상,3,"화(2) 현차관 B204호
목(2) 현차관 B204호",,104,"인원제한, 교환학생, 출석확인자율화"
조회,BUSS205-06,전공필수,마케팅원론(영강),유시진,3,"월(1) 현차관 B301호
수(1) 현차관 B301호",,77,"인원제한, 교환학생, 출석확인자율화"
조회,BUSS205-07,전공필수,마케팅원론(영강),Tony C. Garrett,3,"화(1) L-P 531호
목(1) L-P 531호",,18,"인원제한, 교환학생, 출석확인자율화"
조회,BUSS207-01,전공필수,재무관리(영강),박경서,3,"월(5) 현차관 303호
수(5) 현차관 303호",,75,"인원제한, 교환학생, 출석확인자율화"
조회,BUSS207-02,전공필수,재무관리(영강),이동욱,3,"월(6-8) 
수(6-8)",,80,"인원제한, 교환학생, 유연학기"
조회,BUSS207-03,전공필수,재무관리(영강),김중혁,3,"월(2) 현차관 303호
수(2) 현차관 303호",,54,"인원제한, 교환학생, 출석확인자율화"
조회,BUSS207-04,전공필수,재무관리(영강),김우찬,3,"화(6) 현차관 B204호
목(6) 현차관 B204호",,91,"인원제한, 교환학생"
조회,BUSS207-05,전공필수,재무관리(영강),황준호,3,"화(5) 현차관 B204호
목(5) 현차관 B204호",,104,"인원제한, 교환학생, 출석확인자율화"
조회,BUSS207-06,전공필수,재무관리(영강),나현승,3,"월(6) 현차관 B206호
수(6) 현차관 B206호",,85,"인원제한, 교환학생"
조회,BUSS207-07,전공필수,재무관리(영강),황선우,3,"월(1) 현차관 B204호
수(1) 현차관 B204호",,39,"인원제한, 교환학생, 출석확인자율화"
조회,BUSS211-01,전공필수,오퍼레이션스관리(영강),이현석,3,"화(2) 현차관 B205호
목(2) 현차관 B205호",,36,"인원제한, 교환학생"
조회,BUSS211-02,전공필수,오퍼레이션스관리,김대기,3,"월(2) L-P 107호
수(2) L-P 107호",,20,"인원제한, 교환학생, 출석확인자율화"
